cnnaffinity,Smiles,h,plip,sf1
,[H]c1nc([H])c(N([H])C(=O)N([H])c2nnn([H])n2)c([H])c1[H],6,,
,[H]c1nc([H])c(ON([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C(=O)N([H])OS(=O)(=O)N([H])[H])c([H])c1[H],6,,
,[H]OC([H])([H])C(N([H])S(=O)(=O)c1c([H])nc([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],6,,
,[H]c1nc([H])c(C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C([H])([H])OC(=O)OC([H])([H])[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])sc([H])c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])OC(F)(F)F)c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])C([H])([H])N([H])C([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])C(=O)c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])nc23)c([H])c1[H],6,,
,[H]c1nc([H])c(C([H])([H])C(=O)N([H])Oc2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H],6,,
,[H]ON([H])C(=O)C([H])([H])OC([H])([H])c1c([H])nc([H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2F)c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(N([H])N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],6,,
,[H]c1nc([H])c(C([H])([H])[C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1[H],6,,
